Element Number	Equivalent (von-Mises) Stress (psi)
1556	1.3165
1557	1.4085
1558	1.3257
1559	1.4161
1560	1.5375
1561	1.4216
1562	3.8211
1563	4.1939
1564	3.183
1565	2.5462
1566	3.3496
1567	3.7406
1568	2.6843
1569	4.2781
1570	3.2713
1571	4.8418
1572	6.2094
1573	5.7801
1574	7.3493
1575	6.1843
1576	6.8352
1577	10.017
1578	7.3326
1579	8.9838
1580	9.3305
1581	9.1915
1582	5.0773
1583	0.56345
1584	0.74295
1585	1.234
1586	0.91172
1587	0.59154
1588	0.44608
1589	0.53244
1590	0.53775
1591	0.71026
1592	1.3671
1593	0.97205
1594	1.7904
1595	1.7373
1596	1.278
1597	1.4659
1598	0.69593
1599	0.63021
1600	0.92341
1601	1.5864
1602	1.0613
1603	11.421
1604	11.4
1605	11.094
1606	10.973
1607	11.149
1608	11.252
1609	11.155
1610	11.428
1611	11.454
1612	11.008
1613	11.18
1614	10.901
1615	11.25
1616	11.361
1617	11.001
1618	11.17
1619	10.844
1620	11.093
1621	2.6487
1622	2.8757
1623	2.706
1624	2.7342
1625	2.5565
1626	2.2174
1627	2.3586
1628	2.1806
1629	1.7816
1630	2.037
1631	1.7533
1632	3.6778
1633	2.6465
1634	3.9088
1635	4.3828
1636	2.8872
1637	4.4473
1638	4.0179
1639	4.8237
1640	5.5097
1641	3.0264
1642	2.8158
1643	3.8602
1644	2.6993
1645	4.1989
1646	5.9337
1647	4.9544
1648	6.1607
1649	5.5124
1650	5.0714
1651	4.7806
1652	5.8529
1653	2.351
1654	2.3306
1655	2.5785
1656	2.162
1657	2.2988
1658	2.5906
1659	2.1823
1660	2.0219
1661	1.3612
1662	1.4623
1663	1.3662
1664	1.6549
1665	13.602
1666	13.234
1667	13.288
1668	13.614
1669	12.863
1670	13.231
1671	12.304
1672	12.363
1673	12.883
1674	12.57
1675	13.19
1676	12.886
1677	13.515
1678	13.288
1679	12.364
1680	12.431
1681	12.861
1682	12.864
1683	6.4679
1684	6.393
1685	6.5553
1686	6.5068
1687	6.2323
1688	6.044
1689	5.9454
1690	6.3038
1691	6.2065
1692	12.26
1693	12.335
1694	12.502
1695	12.414
1696	12.336
1697	12.808
1698	13.086
1699	13.144
1700	13.427
1701	12.783
1702	12.753
1703	13.106
1704	13.506
1705	13.224
1706	12.78
1707	12.753
1708	13.369
1709	13.058
1710	13.107
1711	13.298
1712	2.2961
1713	2.3104
1714	2.5497
1715	2.4476
1716	2.4174
1717	1.9055
1718	1.9797
1719	2.1553
1720	2.4097
1721	2.6639
1722	2.5127
1723	2.433
1724	2.3052
1725	2.6343
1726	2.4978
1727	2.533
1728	2.6104
1729	2.5324
1730	2.6927
1731	0.78108
1732	0.76259
1733	0.73943
1734	0.70612
1735	0.81244
1736	0.75931
1737	0.80042
1738	0.85255
1739	0.782
1740	0.77225
1741	0.80899
1742	0.82892
1743	0.90734
1744	0.9645
1745	0.93128
1746	0.84216
1747	1.0072
1748	0.95552
1749	0.97602
1750	4.4875
1751	5.1983
1752	4.6757
1753	4.154
1754	4.8568
1755	6.089
1756	2.9222
1757	3.0443
1758	5.7925
1759	4.5907
1760	5.851
1761	2.8832
1762	3.0358
1763	4.9047
1764	6.1722
1765	5.7754
1766	6.574
1767	4.5086
1768	3.8858
1769	0.32567
1770	0.36052
1771	0.42924
1772	0.43759
1773	0.44872
1774	0.36446
1775	0.41736
1776	0.37396
1777	0.38439
1778	0.45766
1779	0.31546
1780	0.31154
1781	0.46585
1782	0.49241
1783	0.45479
1784	0.51118
1785	0.54734
1786	0.7065
1787	0.69451
1788	0.60461
1789	0.77446
1790	0.75564
1791	0.58228
1792	0.51381
1793	0.69792
1794	5.0816e-002
1795	0.15773
1796	0.21693
1797	0.16371
1798	0.25019
1799	0.14546
1800	2.6886e-002
1801	5.4687e-002
1802	0.16575
1803	0.11571
1804	4.8648e-002
1805	2.5386e-002
1806	5.4095e-002
1807	1.7098e-002
1808	9.3752e-002
1809	2.7012e-002
1810	0.84152
1811	1.0231
1812	0.83234
1813	1.0125
1814	1.5166
1815	1.4209
1816	1.1796
1817	1.2159
1818	0.94869
1819	0.88661
1820	0.82799
1821	1.0847
1822	0.9652
1823	1.2629
1824	1.348
1825	1.3178
1826	1.3303
1827	1.3687
1828	1.0118
1829	1.244
1830	1.1094
1831	1.147
1832	2.4075
1833	2.1576
1834	2.2293
1835	2.0963
1836	2.8806
1837	3.6661
1838	3.7618
1839	3.9111
1840	4.415
1841	3.4445
1842	4.31
1843	2.6319
1844	2.687
1845	3.0183
1846	3.5915
1847	3.0322
1848	3.3229
1849	3.845
1850	4.5035
1851	3.5049
1852	4.3535
1853	2.9232
1854	5.9261
1855	6.4029
1856	6.4955
1857	7.2077
1858	5.8965
1859	4.9994
1860	4.7237
1861	5.6443
1862	5.853
1863	5.7083
1864	7.1974
1865	5.224
1866	6.4537
1867	6.9623
1868	4.5604
1869	4.7774
1870	6.1117
1871	5.0574
1872	1.0993
1873	1.1623
1874	1.0085
1875	1.0621
1876	1.1191
1877	1.1859
1878	1.1773
1879	1.0179
1880	0.91243
1881	0.91791
1882	1.0318
1883	1.0754
1884	1.1697
1885	1.0886
1886	0.99531
1887	1.0797
1888	0.20806
1889	0.18383
