Node Number	X Location (in)	Y Location (in)	Z Location (in)	
568	-1.15	-0.9	0.6	
569	-1.15	-0.9	0.65	
570	-0.9	-1.15	0.65	
571	-0.9	-1.15	0.6	
572	-0.9	-1.15	0.55	
573	-0.9	-1.15	0.5	
574	-0.9	-1.15	0.45	
575	-0.9	-1.15	0.4	
576	-0.9	-1.15	0.35	
577	-0.9	-1.15	0.3	
578	-0.9	-1.15	0.25	
579	-0.9	-1.15	0.2	
580	-0.9	-1.15	0.15	
581	-0.9	-1.15	0.1	
582	-0.9	-1.15	5.e-002	
583	0.9	-1.15	0.	
584	-0.85	-1.15	0.	
585	-0.8	-1.15	0.	
586	-0.75	-1.15	0.	
587	-0.7	-1.15	0.	
588	-0.65	-1.15	0.	
589	-0.6	-1.15	0.	
590	-0.55	-1.15	0.	
591	-0.5	-1.15	0.	
592	-0.45	-1.15	0.	
593	-0.4	-1.15	0.	
594	-0.35	-1.15	0.	
595	-0.3	-1.15	0.	
596	-0.25	-1.15	0.	
597	-0.2	-1.15	0.	
598	-0.15	-1.15	0.	
599	-0.1	-1.15	0.	
600	-5.e-002	-1.15	0.	
601	-1.3659e-016	-1.15	0.	
602	5.e-002	-1.15	0.	
603	1.e-001	-1.15	0.	
604	0.15	-1.15	0.	
605	0.2	-1.15	0.	
606	0.25	-1.15	0.	
607	0.3	-1.15	0.	
608	0.35	-1.15	0.	
609	0.4	-1.15	0.	
610	0.45	-1.15	0.	
611	0.5	-1.15	0.	
612	0.55	-1.15	0.	
613	0.6	-1.15	0.	
614	0.65	-1.15	0.	
615	0.7	-1.15	0.	
616	0.75	-1.15	0.	
617	0.8	-1.15	0.	
618	0.85	-1.15	0.	
619	0.9	-1.15	5.e-002	
620	0.9	-1.15	0.1	
621	0.9	-1.15	0.15	
622	0.9	-1.15	0.2	
623	0.9	-1.15	0.25	
624	0.9	-1.15	0.3	
625	0.9	-1.15	0.35	
626	0.9	-1.15	0.4	
627	0.9	-1.15	0.45	
628	0.9	-1.15	0.5	
629	0.9	-1.15	0.55	
630	0.9	-1.15	0.6	
631	0.9	-1.15	0.65	
632	1.15	-0.9	0.	
633	1.1452	-0.94877	0.	
634	1.131	-0.99567	0.	
635	1.1079	-1.0389	0.	
636	1.0768	-1.0768	0.	
637	1.0389	-1.1079	0.	
638	0.99567	-1.131	0.	
639	0.94877	-1.1452	0.	
640	1.15	-0.9	0.65	
